ID,Nazwa*,Kategorie,ID reduły pdoatku,w sprzedaży (0 lub 1),Ilosc,Jedonstka dla ceny za jednostkę,cena za jednostkę,"pokaż cenę(0=Nie,1=Tak)","Dostępne tylko onilne(0=Nie,1=Tak)","Dostępne do zamóiena (0=Nie,1=Tak)","Adresy URL zdjęcia(x,y,z...)","Wiretualny produkty (0=No, 1= Yes)",Cecha,Opis:
670,Córki Wawelu. Opowieść o Jagiellońskich królewnach,24,1,1,10,zł,34.99,1,0,1,https://www.wydawnictwoliterackie.pl/resources/1/Brzezinska_CorkiWawelu_m.jpg,0,autor:Anna Brzezińska;okładka:twarda;liczba stron:840,książka historyczna
671,Ania.,24,1,1,58,zł,25.99,1,0,1,http://livro.pl/media/catalog/product/cache/1/image/555x555/602f0fa2c1f0d1ba5e241f914e856ff9/1/5/15022826728346580.jpg_1.jpg,0,autor:Anna Przybylska,książka biograficzna
672,Zakazany układ,26,1,1,45,zł,21.22,1,0,1,"https://www.gandalf.com.pl/o/zakazany-uklad,big,820944.jpg",0,autor:K.N.Haner,
673,Życie,24,1,1,45,zł,37,1,0,1,http://livro.pl/media/catalog/product/cache/1/image/555x555/602f0fa2c1f0d1ba5e241f914e856ff9/1/5/15077046026919619.jpg.jpg,0,autor:Michael Jordan,biografia
674,Narrenturm,5,1,1,45,zł,51.99,1,1,1,http://grafik.tworze.com/img/cd-sapkowski-narrenturm-01.jpg,1,autor: Andrzej Sapkowski,słuchowisko
675,Metro 2033,5,1,1,45,zł,19.99,1,1,1,http://metro2033.pl/uploaded/galleryc/big_144610845200.jpg,1,autor:Dmitrij Głuchowski; lektor: Krzysztof Gosztyła,
676,"Kobiety, które zawładnęły Europą",24,1,1,45,zł,20,1,0,1,https://4.allegroimg.com/s512/0046ad/428889d2499a857f5fc79a36cec4/Kobiety,0,autor:Cars des Jean,
677,Autobiografia Benjamina Franklina,24,1,1,45,zł,50.01,1,0,1,http://tools.dropshop24.pl/wp-content/uploads/2017/10/franklin-front.jpg,0,autor:Benjamina Franklina,
678,Między wierszami ,25,1,1,45,zł,31.99,1,0,1,https://www.dobre-ksiazki.com.pl//images/covers_azymut/836162i.jpg,0,autor:Webber Tammara,
679,Zakazany owoc,25,1,1,45,zł,23,1,0,1,https://www.dobre-ksiazki.com.pl//images/covers_azymut/764498i.jpg,0,autor: Spindler Erica,
680,Lem: życie nie z tej ziemi,24,1,1,45,zł,28.99,1,0,1,http://ecsmedia.pl/c/lem-zycie-nie-z-tej-ziemi-b-iext49973237.jpg,0,autor:Wojciech Orliński,
681,Wyspianski.Dopoki starczy zycia,24,1,1,45,zł,21.14,1,0,1,http://s.lubimyczytac.pl/upload/books/4746000/4746508/580471-352x500.jpg,0,autor:Monika Śliwińska,
682,Najlepiej w życiu ma twój kot: listy,24,1,1,45,zł,18.19,1,0,1,http://ecsmedia.pl/c/14815520974011911-jpg-gallery.big-iext47135938.jpg,0,autor:Wisława Szymborska,
683,Marilyn na Manhattanie,24,1,1,45,zł,22.22,1,0,1,https://www.wydawnictwoliterackie.pl/resources/1/Winder_Marilyn-na-Manhattanie_m.jpg,0,autor:Elizabeth Winder,
684,Roland - Cykl: Mroczna Wieża (tom 1),5,1,1,45,zł,22.22,1,1,1,http://s.lubimyczytac.pl/upload/books/4666000/4666867/578371-352x500.jpg,1,autor:Stephen King,
685,Beksińscy. Portret podwójny,24,1,1,45,zł,32.99,1,0,1,https://media.merlin.pl/media/original/000/015/222/57f437068fc38.jpg,0,autor: Magdalena Grzebałkowska,
686,Morderstwo w Orient Expressie,19,1,1,45,zł,28.22,1,0,1,http://cf2-taniaksiazka.statiki.pl/images/large/1E2/9788327157775.jpg,0,autor:Agatha Christie,
687,Hyperion,19,1,1,45,zł,45.6,1,0,1,http://zureklukasz.com/wp-content/uploads/2015/05/Hyperion_covers2.jpg,0,autor:Dan Simmons,
688,Misja Błazna,5,1,1,45,zł,50.5,1,1,1,https://static.audioteka.com/pl/images/products/robin-hobb/misja-blazna-duze.jpg,1,autor:Robin Hobb,
689,Pan Lodowego Ogrodu,19,1,1,45,zł,20.22,1,0,1,https://gfx.gexe.pl/2015/6/29/221049.1435608649.jpg,0,autor:Jarosław Grzędowicz,
690,Nowy wspaniały świat,19,1,1,45,zł,20.41,1,0,1,http://cf2-taniaksiazka.statiki.pl/images/large/BF7/9788328707092.jpg,0,autor:Aldous Huxley,
691,Rok 1984,25,1,1,45,zł,30.41,1,0,1,https://www.ravelo.pl/pub/mm/img/220/12640033.jpg,0,autor:George Orwell,
692,Mamo Tato co Ty na to O opiece pielęgnacji i rozwoju Waszego maleństwa,5,1,1,45,zł,20.41,1,1,1,https://webimage.pl/pics/112/5/d755630.jpg,1,autor:Zawitkowski Paweł,
693,Mamo to ja,5,1,1,45,zł,28.99,1,1,1,http://ecsmedia.pl/c/ksiazka-mamo-to-ja-w-iext41758395.jpg,1,autor:Zawitkowski Paweł,
694,Wychowanie bez nagrod i kar,17,1,1,45,zł,43.1,1,0,1,http://s.lubimyczytac.pl/upload/books/195000/195358/191580-352x500.jpg,0,autor:Alfie Kohn,
695,Być mężem i ojcem,17,1,1,45,zł,18.99,1,0,1,http://ecsmedia.pl/c/byc-mezem-i-ojcem-w-iext38680396.jpg,0,autor:Jesper Juul,
